Title,Year,Genre,Director,Rating
The Shawshank Redemption,1994,Drama,Frank Darabont,9.3
The Godfather,1972,"Crime, Drama",Francis Ford Coppola,9.2
The Dark Knight,2008,"Action, Crime, Drama",Christopher Nolan,9.0
The Godfather Part II,1974,"Crime, Drama",Francis Ford Coppola,9.0
12 Angry Men,1957,"Crime, Drama",Sidney Lumet,9.0
Schindler's List,1993,"Biography, Drama, History",Steven Spielberg,8.9
The Lord of the Rings: The Return of the King,2003,"Action, Adventure, Drama",Peter Jackson,8.9
Pulp Fiction,1994,"Crime, Drama",Quentin Tarantino,8.9
"The Good, the Bad and the Ugly",1966,Western,Sergio Leone,8.8
Fight Club,1999,Drama,David Fincher,8.8
Forrest Gump,1994,"Drama, Romance",Robert Zemeckis,8.8
Inception,2010,"Action, Adventure, Sci-Fi",Christopher Nolan,8.8
The Matrix,1999,"Action, Sci-Fi","Lana Wachowski, Lilly Wachowski",8.7
Goodfellas,1990,"Biography, Crime, Drama",Martin Scorsese,8.7
The Lord of the Rings: The Fellowship of the Ring,2001,"Action, Adventure, Drama",Peter Jackson,8.8
Star Wars: Episode V - The Empire Strikes Back,1980,"Action, Adventure, Fantasy",Irvin Kershner,8.7
One Flew Over the Cuckoo's Nest,1975,Drama,Milos Forman,8.7
Parasite,2019,"Comedy, Drama, Thriller",Bong Joon Ho,8.6
Interstellar,2014,"Adventure, Drama, Sci-Fi",Christopher Nolan,8.6
City of God,2002,"Crime, Drama","Fernando Meirelles, Kátia Lund",8.6
Spirited Away,2001,"Animation, Adventure, Family",Hayao Miyazaki,8.6
Saving Private Ryan,1998,"Drama, War",Steven Spielberg,8.6
The Green Mile,1999,"Crime, Drama, Fantasy",Frank Darabont,8.6
Life Is Beautiful,1997,"Comedy, Drama, Romance",Roberto Benigni,8.6
Se7en,1995,"Crime, Drama, Mystery",David Fincher,8.6
The Silence of the Lambs,1991,"Crime, Drama, Thriller",Jonathan Demme,8.6
It's a Wonderful Life,1946,"Drama, Family, Fantasy",Frank Capra,8.6
Whiplash,2014,"Drama, Music",Damien Chazelle,8.5
The Intouchables,2011,"Biography, Comedy, Drama","Olivier Nakache, Éric Toledano",8.5
The Prestige,2006,"Drama, Mystery, Sci-Fi",Christopher Nolan,8.5
The Departed,2006,"Crime, Drama, Thriller",Martin Scorsese,8.5
The Pianist,2002,"Biography, Drama, Music",Roman Polanski,8.5
Gladiator,2000,"Action, Adventure, Drama",Ridley Scott,8.5
American History X,1998,Drama,Tony Kaye,8.5
The Usual Suspects,1995,"Crime, Drama, Mystery",Bryan Singer,8.5
Léon: The Professional,1994,"Action, Crime, Drama",Luc Besson,8.5
